,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
Mark,127.08,162.62,120,83.4,123.38,122.76,100.22,106.94,,,,,,,
Mike,91.44,122.1,102.88,144.58,103.84,130.22,88,53.94,,,,,,,
Chris,117.6,94.48,113.98,99.66,96.92,82.94,166.66,158.36,,,,,,,
Addy,120.38,157.7,162.54,97.72,101.24,95.58,84.72,116.66,,,,,,,
Brian,120.1,100.96,77.38,92.92,115.3,109.84,103.58,65.12,,,,,,,
Ross,83.86,66.96,104.68,69,99.26,54.48,95.92,81.46,,,,,,,
Ben,119.18,115.94,97.9,118.7,143.7,79.12,95.86,72.84,,,,,,,
Geo,73.76,40.72,75.8,121.54,81.14,87.22,93.92,51.84,,,,,,,
Nick,100.5,115.98,140.12,103.54,106.62,72.54,163.88,96.62,,,,,,,
David,119.86,108,129.22,116.58,90.82,94,108.72,104.74,,,,,,,
James,107.4,80.08,80.18,83.5,59.72,128.02,124.94,91.12,,,,,,,
Andrew,88.54,121.18,117.5,149.7,123.22,81.6,79.36,86.94,,,,,,,
